22
0,-0.138889,0.68,0.68,0
-2.778582,1.481481,0.3200001,0.3200001,1
-4.31259,1.148727,0.2800001,0.2800001,2
-5.77424,1.25,0.2,0.2,3
-6.454413,0.6278938,0.16,0.16,4
-2.329956,-2.106482,0.3200001,0.3200001,5
-3.719247,-2.945602,0.2400001,0.2400001,6
-4.602026,-2.352431,0.2,0.2,7
-5.991317,-2.149884,0.2800001,0.2800001,8
-7.322721,-2.786458,0.2400001,0.2400001,9
1.997106,-2.439236,0.2800001,0.2800001,10
3.082489,-3.480903,0.2400001,0.2400001,11
5.065123,-3.611111,0.36,0.36,12
6.729377,-2.989005,0.2400001,0.2400001,13
7.033285,-1.81713,0.2,0.2,14
7.062229,-0.6452546,0.16,0.16,15
6.816208,0.5989581,0.2800001,0.2800001,16
6.237338,2.132523,0.2400001,0.2400001,17
5.455861,3.17419,0.2,0.2,18
4.269175,3.579282,0.16,0.16,19
3.270622,3.695023,0.16,0.16,20
2.387844,3.709491,0.12,0.12,21
